,model,type,elapsed,mse
183,linstorch(0.6868421052631578),linstorch,0.010000228881835938,0.6901361346244812
184,linstorch(0.6868421052631578),linstorch,0.0069997310638427734,0.5188084244728088
185,linstorch(0.6868421052631578),linstorch,0.02199840545654297,0.46589139103889465
186,linstorch(0.6868421052631578),linstorch,0.017000913619995117,0.5816072821617126
187,linstorch(0.6868421052631578),linstorch,0.010999441146850586,0.5512911081314087
188,linstorch(0.6868421052631578),linstorch,0.03300189971923828,0.5603944063186646
189,linstorch(0.6868421052631578),linstorch,0.007001399993896484,0.7842763662338257
190,linstorch(0.6868421052631578),linstorch,0.003000497817993164,0.4545098543167114
191,linstorch(0.6868421052631578),linstorch,0.01799941062927246,0.4749411940574646
192,linstorch(0.6868421052631578),linstorch,0.024999618530273438,0.6932333111763
193,linstorch(0.6868421052631578),linstorch,0.010002374649047852,0.582237720489502
194,linstorch(0.6868421052631578),linstorch,0.0039975643157958984,0.4776638448238373
